Genres List,Image Book Cover Url,Book Title,Author Name,Rating,No Of Rating,Amazon Link,No Of Pages,Detail Url
"Fiction, Poetry, Mythology, Fantasy, School, Literature, Adventure",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1711957706i/1381.jpg,The Odyssey,Homer,3.82,1140247,https://www.amazon.com/gp/product/B000OCXGRS/,541,https://www.goodreads.com/book/show/1381.The_Odyssey
"Fiction, Classics, Childrens, Young Adult, Historical Fiction, Middle Grade, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998.jpg,The Secret Garden,Frances Hodgson Burnett,4.16,1243119,https://www.amazon.com/gp/product/B095HZKHRP/,331,https://www.goodreads.com/book/show/2998.The_Secret_Garden
"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1598823299i/42844155.jpg,Harry Potter and the Sorcerer’s Stone,J.K. Rowling,4.47,10874897,https://www.amazon.com/gp/product/B07SBCZ16W/,333,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
"Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure, Middle Grade",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251.jpg,Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,3953206,https://www.amazon.com/gp/product/B0192CTNPO/,759,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
"Fantasy, Fiction, Epic Fantasy, High Fantasy, Adult, Audiobook, Science Fiction Fantasy",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496.jpg,A Game of Thrones,George R.R. Martin,4.45,2638606,https://www.amazon.com/gp/product/B000QCS8TW/,835,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
"Fiction, Romance, Fantasy, Time Travel, Science Fiction, Book Club, Contemporary",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1733519901i/18619684.jpg,The Time Traveler's Wife,Audrey Niffenegger,4.0,1833298,https://www.amazon.com/gp/product/B093D99L1M/,537,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
"Fantasy, Fiction, Romance, Humor, Adventure, Young Adult, Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787.jpg,The Princess Bride,William Goldman,4.27,927166,https://www.amazon.com/gp/product/B003IEJZRY/,429,https://www.goodreads.com/book/show/21787.The_Princess_Bride
"Fiction, Historical Fiction, Young Adult, Romance, Historical, Literature, Book Club",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934.jpg,Little Women,Louisa May Alcott,4.16,2355891,https://www.amazon.com/gp/product/B084G9YKLD/,449,https://www.goodreads.com/book/show/1934.Little_Women
"Classics, Young Adult, Fiction, School, Read For School, Coming Of Age, Realistic Fiction",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804.jpg,The Outsiders,S.E. Hinton,4.14,1496627,https://www.amazon.com/gp/product/B007ZUV4TO/,208,https://www.goodreads.com/book/show/231804.The_Outsiders
"Fiction, Historical Fiction, Book Club, Historical, Classics, Novels, War",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029.jpg,A Thousand Splendid Suns,Khaled Hosseini,4.45,1648540,https://www.amazon.com/gp/product/B000SCHC0Q/,372,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
"Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636.jpg,The Giver,Lois Lowry,4.12,2686260,https://www.amazon.com/gp/product/B00KV1QTDK/,208,https://www.goodreads.com/book/show/3636.The_Giver
"Science Fiction, Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Dystopia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802.jpg,Ender’s Game,Orson Scott Card,4.31,1434903,https://www.amazon.com/gp/product/B003G4W49C/,324,https://www.goodreads.com/book/show/375802.Ender_s_Game
"Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107.jpg,The Catcher in the Rye,J.D. Salinger,3.8,3746256,https://www.amazon.com/gp/product/B07V8HFMTR/,277,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
"Fiction, Magical Realism, Fantasy, Literature, Historical Fiction, Novels, Book Club",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320.jpg,One Hundred Years of Solitude,Gabriel García Márquez,4.12,1048860,https://www.amazon.com/gp/product/B007IETMI2/,417,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
"Fiction, School, Historical Fiction, Literature, Read For School, Novels, High School",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890.jpg,Of Mice and Men,John Steinbeck,3.89,2709352,https://www.amazon.com/gp/product/B0DZXTV7K9/,107,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
"Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427.jpg,1984,George Orwell,4.2,5093138,https://www.amazon.com/gp/product/B0DRNQWLFT/,298,https://www.goodreads.com/book/show/40961427-1984
"Fiction, Science Fiction, Dystopia, Literature, Novels, School, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg,Brave New World,Aldous Huxley,3.99,1979036,https://www.amazon.com/gp/product/B00EIB1AV0/,268,https://www.goodreads.com/book/show/5129.Brave_New_World
"Fiction, Childrens, Classics, Fantasy, Young Adult, Middle Grade, Animals",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178.jpg,Charlotte’s Web,E.B. White,4.2,1963907,https://www.amazon.com/gp/product/B00T3DNKE8/,184,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
"Horror, Fiction, Fantasy, Gothic, Vampires, Paranormal, Literature",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245.jpg,Dracula,Bram Stoker,4.02,1387751,https://www.amazon.com/gp/product/B071YJZXLH/,488,https://www.goodreads.com/book/show/17245.Dracula
"Fiction, Science Fiction, Dystopia, School, Literature, Novels, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982.jpg,Fahrenheit 451,Ray Bradbury,3.97,2649521,https://www.amazon.com/gp/product/B0064CPN7I/,194,https://www.goodreads.com/book/show/13079982-fahrenheit-451
"Science Fiction, Fiction, Humor, Fantasy, Comedy, Audiobook, Science Fiction Fantasy",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,The Hitchhiker’s Guide to the Galaxy,Douglas Adams,4.23,1943826,https://www.amazon.com/gp/product/B007BYRXE4/,216,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
"Fiction, Historical Fiction, Book Club, Historical, Adult, Adult Fiction, Contemporary",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024.jpg,The Help,Kathryn Stockett,4.46,2927559,https://www.amazon.com/gp/product/B002YKOXB6/,464,https://www.goodreads.com/book/show/4667024-the-help
"Classics, Plays, Fiction, School, Read For School, Literature, High School",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135.jpg,Romeo and Juliet,William Shakespeare,3.74,2734349,https://www.amazon.com/gp/product/B00MA8H9Q8/,281,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Fiction, Vampires",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683.jpg,City of Bones,Cassandra Clare,4.07,2104534,https://www.amazon.com/gp/product/B0013TXA5Y/,485,https://www.goodreads.com/book/show/256683.City_of_Bones
"Horror, Fantasy, Fiction, Vampires, Paranormal, Classics, Gothic",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1380631642i/43763.jpg,Interview with the Vampire,Anne Rice,4.02,626011,https://www.amazon.com/gp/product/B004AM5R20/,346,https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
"Classics, Poetry, Horror, Fiction, Short Stories, Gothic, Mystery",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327942676i/23919.jpg,The Complete Stories and Poems,Edgar Allan Poe,4.4,288546,https://www.amazon.com/gp/product/B00CFRGIEI/,821,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems
